GENESIS-Tabelle: 61511-111r
Bauland: Gemeinden, Veräußerungsfälle, veräußerte Fläche,;;;;;;;;;;;;;;;;;
Kaufpreis, durchschnittliche Kaufwerte (EUR/qm),;;;;;;;;;;;;;;;;;
Baulandarten, Jahr (ab 2010);;;;;;;;;;;;;;;;;
Statistik der Kaufwerte für Bauland;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;
;;Veräußerungsfälle;;Veräußerungsfälle;;Veräußerte Fläche;;Veräußerte Fläche;;Verkaufspreis;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;
;;Anzahl;;Anzahl;;1000 qm;;1000 qm;;Tsd. EUR;;Tsd. EUR;;EUR/qm;;EUR/qm;
09278147;      Loitzendorf;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09278148;      Mallersdorf-Pfaffenberg, M;71;e;71;e;48;e;48;e;3858;e;3858;e;80,62;e;80,62;e
09278149;      Mariaposching;12;e;12;e;9;e;9;e;622;e;622;e;70,49;e;70,49;e
09278151;      Mitterfels, M;7;e;6;e;6;e;6;e;647;e;.;.;107,54;e;.;.
09278154;      Neukirchen;5;e;5;e;4;e;4;e;241;e;241;e;63,75;e;63,75;e
09278159;      Niederwinkling;3;e;1;e;1;e;1;e;33;e;.;.;27,59;e;.;.
09278167;      Oberschneiding;32;e;30;e;35;e;27;e;3650;e;.;.;104,43;e;.;.
09278170;      Parkstetten;9;e;7;e;23;e;6;e;1162;e;.;.;51,46;e;.;.
09278171;      Perasdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09278172;      Perkam;8;e;8;e;5;e;5;e;404;e;404;e;75,00;e;75,00;e
09278177;      Rain;26;e;25;e;19;e;17;e;2166;e;.;.;113,62;e;.;.
09278178;      Rattenberg;7;e;7;e;7;e;7;e;282;e;282;e;40,29;e;40,29;e
09278179;      Rattiszell;10;e;10;e;8;e;8;e;578;e;578;e;71,20;e;71,20;e
09278182;      Salching;40;e;38;e;26;e;26;e;3547;e;.;.;133,99;e;.;.
09278184;      Sankt Englmar;4;e;4;e;4;e;4;e;481;e;481;e;110,08;e;110,08;e
09278187;      Schwarzach, M;21;e;20;e;29;e;20;e;1717;e;.;.;59,68;e;.;.
09278189;      Stallwang;3;e;1;e;3;e;1;e;91;e;.;.;28,21;e;.;.
09278190;      Steinach;20;e;17;e;16;e;14;e;1362;e;1332;e;87,49;e;97,98;e
09278192;      Straßkirchen;28;e;27;e;21;e;21;e;2659;e;.;.;125,34;e;.;.
09278197;      Wiesenfelden;16;e;14;e;16;e;15;e;794;e;.;.;50,38;e;.;.
09278198;      Windberg;3;e;3;e;3;e;3;e;143;e;143;e;56,39;e;56,39;e
09279;    Dingolfing-Landau (Lkr);456;e;401;e;705;e;358;e;59369;e;32813;e;84,16;e;91,57;e
09279112;      Dingolfing, St;92;e;84;e;103;e;53;e;9765;e;7165;e;94,47;e;135,72;e
09279113;      Eichendorf, M;26;e;25;e;32;e;29;e;1350;e;.;.;41,71;e;.;.
09279115;      Frontenhausen, M;32;e;30;e;34;e;29;e;3651;e;.;.;108,82;e;.;.
09279116;      Gottfrieding;1;e;1;e;5;e;5;e;.;.;.;.;.;.;.;.
09279122;      Landau a.d.Isar, St;62;e;49;e;75;e;46;e;5520;e;4118;e;73,12;e;88,80;e
09279124;      Loiching;12;e;8;e;10;e;6;e;735;e;545;e;70,70;e;91,69;e
09279125;      Mamming;24;e;19;e;39;e;16;e;2246;e;1559;e;57,84;e;95,32;e
09279126;      Marklkofen;11;e;10;e;12;e;11;e;870;e;.;.;75,34;e;.;.
09279127;      Mengkofen;20;e;18;e;15;e;13;e;1270;e;.;.;86,14;e;.;.
09279128;      Moosthenning;10;e;9;e;20;e;19;e;.;.;.;.;.;.;.;.
09279130;      Niederviehbach;25;e;23;e;37;e;20;e;2284;e;.;.;61,36;e;.;.
09279132;      Pilsting, M;25;e;15;e;223;e;20;e;21658;e;1170;e;97,08;e;57,06;e
09279134;      Reisbach, M;18;e;18;e;15;e;15;e;1101;e;1101;e;73,01;e;73,01;e
09279135;      Simbach, M;48;e;43;e;41;e;34;e;2415;e;2172;e;58,78;e;63,02;e
09279137;      Wallersdorf, M;50;e;49;e;44;e;40;e;3381;e;.;.;76,85;e;.;.
093;  Oberpfalz;2976;e;2486;e;4468;e;2378;e;337866;e;269516;e;75,63;e;113,33;e
09361;    Amberg (Krfr.St);29;e;23;e;73;e;43;e;7725;e;5185;e;106,54;e;120,03;e
09362;    Regensburg (Krfr.St);61;e;55;e;157;e;58;e;62311;e;51891;e;397,91;e;892,21;e
09363;    Weiden i.d.OPf. (Krfr.St);53;e;38;e;160;e;115;e;15507;e;12588;e;96,93;e;109,66;e
09371;    Amberg-Sulzbach (Lkr);355;e;261;e;507;e;213;e;21987;e;17435;e;43,33;e;82,05;e
09371111;      Ammerthal;12;e;6;e;11;e;4;e;491;e;469;e;44,19;e;123,87;e
09371113;      Auerbach i.d.OPf., St;34;e;19;e;33;e;15;e;1266;e;1229;e;37,87;e;83,43;e
09371116;      Birgland;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09371118;      Ebermannsdorf;4;e;3;e;58;e;2;e;358;e;.;.;6,15;e;.;.
09371119;      Edelsfeld;15;e;14;e;30;e;10;e;980;e;.;.;32,24;e;.;.
09371120;      Ensdorf;1;e;1;e;3;e;3;e;.;.;.;.;.;.;.;.
09371121;      Freihung, M;5;e;3;e;3;e;3;e;114;e;.;.;34,01;e;.;.
09371122;      Freudenberg;6;e;3;e;8;e;3;e;367;e;242;e;47,90;e;95,82;e
09371123;      Gebenbach;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09371126;      Hahnbach, M;19;e;17;e;22;e;17;e;1328;e;.;.;60,86;e;.;.
09371127;      Hirschau, St;17;e;13;e;22;e;12;e;1025;e;975;e;46,45;e;82,61;e
09371128;      Hirschbach;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09371129;      Hohenburg, M;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09371131;      Illschwang;20;e;11;e;21;e;10;e;644;e;553;e;30,61;e;57,84;e
09371132;      Kastl, M;15;e;9;e;17;e;9;e;506;e;475;e;29,54;e;53,88;e
09371135;      Königstein, M;3;e;3;e;3;e;3;e;121;e;121;e;46,22;e;46,22;e
09371136;      Kümmersbruck;16;e;11;e;23;e;7;e;1132;e;918;e;48,41;e;129,86;e
09371140;      Etzelwang;10;e;2;e;11;e;2;e;128;e;.;.;12,02;e;.;.
09371141;      Neukirchen b.Sulzbach-Rosenberg;6;e;5;e;6;e;4;e;145;e;.;.;26,35;e;.;.
09371144;      Poppenricht;5;e;4;e;4;e;4;e;309;e;.;.;78,37;e;.;.
09371146;      Rieden, M;19;e;18;e;15;e;13;e;1322;e;.;.;90,91;e;.;.
09371148;      Schmidmühlen, M;9;e;9;e;8;e;8;e;431;e;431;e;55,72;e;55,72;e
09371150;      Schnaittenbach, St;19;e;10;e;40;e;8;e;1136;e;511;e;28,46;e;65,71;e
09371151;      Sulzbach-Rosenberg, St;40;e;32;e;68;e;26;e;3943;e;2717;e;57,86;e;104,03;e
09371154;      Ursensollen;61;e;52;e;86;e;39;e;5479;e;4069;e;63,80;e;104,66;e
09371156;      Vilseck, St;15;e;13;e;13;e;10;e;559;e;.;.;43,78;e;.;.
09371157;      Weigendorf;2;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09371444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09372;    Cham (Lkr);361;e;327;e;516;e;375;e;18991;e;16156;e;36,80;e;43,04;e
09372112;      Arnschwang;5;e;5;e;4;e;4;e;177;e;177;e;45,62;e;45,62;e
09372113;      Arrach;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09372115;      Blaibach;5;e;5;e;4;e;4;e;219;e;219;e;60,57;e;60,57;e
09372116;      Cham, St;42;e;40;e;52;e;41;e;3408;e;.;.;66,00;e;.;.
09372117;      Chamerau;5;e;5;e;4;e;4;e;178;e;178;e;49,43;e;49,43;e
09372124;      Eschlkam, M;6;e;6;e;5;e;5;e;241;e;241;e;50,20;e;50,20;e
09372125;      Falkenstein, M;11;e;8;e;17;e;8;e;487;e;339;e;28,64;e;44,15;e
09372126;      Furth im Wald, St;19;e;12;e;30;e;16;e;1186;e;946;e;39,06;e;58,41;e
09372128;      Gleißenberg;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09372130;      Grafenwiesen;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09372135;      Hohenwarth;4;e;4;e;3;e;3;e;76;e;76;e;29,00;e;29,00;e
09372137;      Bad Kötzting, St;18;e;17;e;14;e;14;e;1058;e;.;.;76,79;e;.;.
09372138;      Lam, M;4;e;4;e;6;e;6;e;186;e;186;e;30,15;e;30,15;e
09372142;      Michelsneukirchen;4;e;4;e;15;e;15;e;359;e;359;e;24,40;e;24,40;e
09372143;      Miltach;15;e;15;e;15;e;15;e;520;e;520;e;35,04;e;35,04;e
09372144;      Neukirchen b.Hl.Blut, M;10;e;10;e;8;e;8;e;331;e;331;e;43,47;e;43,47;e
09372146;      Pemfling;8;e;8;e;8;e;8;e;343;e;343;e;44,78;e;44,78;e
09372147;      Pösing;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09372149;      Reichenbach;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09372150;      Rettenbach;4;e;4;e;4;e;4;e;160;e;160;e;41,46;e;41,46;e
09372151;      Rimbach;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09372153;      Roding, St;39;e;36;e;92;e;83;e;2824;e;2485;e;30,59;e;29,99;e
09372154;      Rötz, St;13;e;10;e;37;e;6;e;834;e;303;e;22,26;e;50,86;e
09372155;      Runding;3;e;2;e;12;e;2;e;189;e;.;.;16,10;e;.;.
09372157;      Schönthal;8;e;8;e;12;e;12;e;299;e;299;e;24,49;e;24,49;e
09372158;      Schorndorf;11;e;9;e;15;e;11;e;602;e;.;.;41,48;e;.;.
09372161;      Stamsried, M;16;e;13;e;14;e;12;e;346;e;340;e;24,54;e;27,66;e
09372163;      Tiefenbach;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09372164;      Traitsching;22;e;21;e;19;e;19;e;740;e;.;.;38,43;e;.;.
09372165;      Treffelstein;8;e;6;e;8;e;7;e;196;e;.;.;23,68;e;.;.
09372167;      Zell;4;e;4;e;2;e;2;e;82;e;82;e;33,20;e;33,20;e
09372168;      Waffenbrunn;11;e;10;e;11;e;10;e;545;e;.;.;50,54;e;.;.
09372169;      Wald;5;e;4;e;5;e;5;e;420;e;.;.;77,84;e;.;.
09372170;      Walderbach;19;e;17;e;23;e;15;e;1071;e;.;.;46,23;e;.;.
09372171;      Waldmünchen, St;18;e;17;e;42;e;18;e;814;e;.;.;19,52;e;.;.
09372174;      Weiding;2;e;2;e;3;e;3;e;.;.;.;.;.;.;.;.
09372175;      Willmering;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09372177;      Zandt;9;e;8;e;23;e;9;e;573;e;.;.;24,75;e;.;.
09372178;      Lohberg;1;e;1;e;3;e;3;e;.;.;.;.;.;.;.;.
09373;    Neumarkt i.d.OPf. (Lkr);519;e;428;e;877;e;410;e;61302;e;41988;e;69,89;e;102,40;e
09373112;      Berching, St;32;e;22;e;68;e;18;e;1228;e;1036;e;17,98;e;57,20;e
09373113;      Berg b.Neumarkt i.d.OPf.;17;e;13;e;34;e;17;e;3123;e;2302;e;91,13;e;138,37;e
09373114;      Berngau;3;e;3;e;2;e;2;e;191;e;191;e;84,25;e;84,25;e
09373115;      Breitenbrunn, M;23;e;21;e;19;e;18;e;878;e;.;.;45,41;e;.;.
09373119;      Deining;80;e;73;e;160;e;66;e;6909;e;4783;e;43,25;e;73,00;e
09373121;      Dietfurt a.d.Altmühl, St;10;e;6;e;13;e;10;e;1346;e;1325;e;107,35;e;128,71;e
09373126;      Freystadt, St;39;e;31;e;51;e;28;e;4607;e;3490;e;90,56;e;125,41;e
09373134;      Hohenfels, M;5;e;5;e;16;e;16;e;248;e;248;e;15,53;e;15,53;e
09373140;      Lauterhofen, M;16;e;14;e;20;e;11;e;948;e;.;.;46,79;e;.;.
09373143;      Lupburg, M;6;e;5;e;10;e;3;e;455;e;.;.;45,86;e;.;.
09373146;      Mühlhausen;14;e;2;e;43;e;1;e;594;e;.;.;13,78;e;.;.
09373147;      Neumarkt i.d.OPf., GKSt;82;e;61;e;186;e;58;e;26635;e;14976;e;143,12;e;260,02;e
09373151;      Parsberg, St;31;e;30;e;28;e;23;e;1657;e;.;.;59,19;e;.;.
09373153;      Pilsach;6;e;6;e;9;e;9;e;524;e;524;e;56,65;e;56,65;e
09373155;      Postbauer-Heng, M;45;e;42;e;75;e;52;e;5104;e;4527;e;68,42;e;87,39;e
09373156;      Pyrbaum, M;7;e;4;e;23;e;4;e;1141;e;368;e;49,17;e;88,74;e
09373159;      Sengenthal;19;e;15;e;29;e;13;e;1850;e;1129;e;62,95;e;84,67;e
09373160;      Seubersdorf i.d.OPf.;33;e;28;e;43;e;23;e;1724;e;1516;e;39,68;e;64,65;e
09373167;      Velburg, St;51;e;47;e;47;e;37;e;2142;e;2035;e;45,99;e;54,58;e
09374;    Neustadt a.d.Waldnaab (Lkr);337;e;298;e;530;e;263;e;20802;e;16977;e;39,24;e;64,59;e
09374111;      Altenstadt a.d.Waldnaab;8;e;6;e;6;e;3;e;605;e;.;.;109,11;e;.;.
09374117;      Eschenbach i.d.OPf., St;6;e;6;e;6;e;6;e;319;e;319;e;52,30;e;52,30;e
09374118;      Eslarn, M;5;e;4;e;7;e;3;e;180;e;.;.;27,62;e;.;.
09374119;      Etzenricht;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09374121;      Floß, M;9;e;9;e;8;e;8;e;326;e;326;e;42,58;e;42,58;e
09374122;      Flossenbürg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09374123;      Georgenberg;2;e;2;e;0;e;0;e;.;.;.;.;.;.;.;.
09374124;      Grafenwöhr, St;14;e;9;e;115;e;6;e;1227;e;395;e;10,68;e;63,62;e
09374127;      Irchenrieth;38;e;38;e;29;e;29;e;2117;e;2117;e;73,69;e;73,69;e
09374128;      Kirchendemenreuth;3;e;3;e;1;e;1;e;57;e;57;e;45,99;e;45,99;e
09374129;      Kirchenthumbach, M;11;e;8;e;36;e;11;e;448;e;361;e;12,48;e;31,99;e
09374131;      Kohlberg, M;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09374132;      Leuchtenberg, M;7;e;7;e;10;e;10;e;247;e;247;e;25,55;e;25,55;e
09374133;      Luhe-Wildenau, M;18;e;14;e;25;e;10;e;1181;e;683;e;47,78;e;70,25;e
09374134;      Mantel, M;7;e;4;e;19;e;9;e;661;e;432;e;35,65;e;49,84;e
09374137;      Moosbach, M;5;e;5;e;6;e;6;e;105;e;105;e;18,68;e;18,68;e
09374139;      Neustadt a.d.Waldnaab, St;10;e;9;e;7;e;7;e;657;e;.;.;87,87;e;.;.
09374140;      Neustadt am Kulm, St;3;e;3;e;1;e;1;e;49;e;49;e;33,61;e;33,61;e
09374144;      Parkstein, M;31;e;30;e;41;e;31;e;3217;e;.;.;78,80;e;.;.
09374146;      Pirk;9;e;7;e;35;e;9;e;1460;e;.;.;41,68;e;.;.
09374147;      Pleystein, St;4;e;4;e;3;e;3;e;147;e;147;e;43,52;e;43,52;e
09374148;      Trabitz;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09374149;      Pressath, St;15;e;10;e;40;e;10;e;1093;e;632;e;27,31;e;62,53;e
09374150;      Püchersreuth;11;e;11;e;10;e;10;e;698;e;698;e;70,90;e;70,90;e
09374154;      Schirmitz;5;e;4;e;6;e;6;e;986;e;.;.;170,77;e;.;.
09374155;      Schlammersdorf;3;e;3;e;6;e;6;e;69;e;69;e;11,72;e;11,72;e
09374156;      Schwarzenbach;1;e;1;e;2;e;2;e;.;.;.;.;.;.;.;.
09374157;      Speinshart;3;e;3;e;1;e;1;e;45;e;45;e;35,79;e;35,79;e
09374158;      Störnstein;4;e;4;e;3;e;3;e;210;e;210;e;75,05;e;75,05;e
09374159;      Tännesberg, M;11;e;9;e;18;e;11;e;237;e;.;.;13,48;e;.;.
09374160;      Theisseil;7;e;7;e;5;e;5;e;480;e;480;e;88,77;e;88,77;e
09374162;      Vohenstrauß, St;21;e;19;e;18;e;14;e;966;e;.;.;52,58;e;.;.
09374163;      Vorbach;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09374164;      Waidhaus, M;7;e;3;e;20;e;2;e;253;e;61;e;12,64;e;28,96;e
09374165;      Waldthurn, M;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09374166;      Weiherhammer;30;e;28;e;25;e;19;e;1422;e;.;.;58,00;e;.;.
09374168;      Windischeschenbach, St;18;e;17;e;15;e;12;e;913;e;.;.;59,52;e;.;.
09374170;      Bechtsrieth;4;e;4;e;3;e;3;e;192;e;192;e;64,85;e;64,85;e
09374444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09375;    Regensburg (Lkr);512;e;450;e;552;e;347;e;71125;e;62619;e;128,83;e;180,31;e
09375113;      Alteglofsheim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09375114;      Altenthann;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09375115;      Aufhausen;17;e;15;e;12;e;11;e;1168;e;.;.;97,63;e;.;.
09375116;      Bach a.d.Donau;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09375117;      Barbing;5;e;5;e;4;e;4;e;749;e;749;e;204,09;e;204,09;e
09375118;      Beratzhausen, M;3;e;3;e;3;e;3;e;97;e;97;e;34,62;e;34,62;e
09375119;      Bernhardswald;9;e;3;e;72;e;4;e;1373;e;629;e;19,15;e;160,62;e
09375120;      Brennberg;4;e;4;e;4;e;4;e;379;e;379;e;94,06;e;94,06;e
09375122;      Brunn;1;e;-;-;3;e;-;-;.;.;-;-;.;.;-;-
09375127;      Deuerling;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09375130;      Donaustauf, M;3;e;3;e;10;e;10;e;2133;e;2133;e;209,81;e;209,81;e
09375131;      Duggendorf;5;e;4;e;20;e;18;e;742;e;.;.;36,37;e;.;.
09375143;      Hagelstadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09375148;      Hemau, St;55;e;52;e;43;e;36;e;3606;e;3328;e;84,81;e;93,73;e
09375153;      Holzheim a.Forst;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09375156;      Kallmünz, M;23;e;21;e;22;e;15;e;1861;e;.;.;84,95;e;.;.
09375161;      Köfering;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09375162;      Laaber, M;28;e;22;e;25;e;17;e;2461;e;2097;e;97,54;e;124,85;e
09375165;      Lappersdorf, M;5;e;5;e;3;e;3;e;963;e;963;e;349,81;e;349,81;e
09375170;      Mintraching;6;e;4;e;9;e;2;e;620;e;.;.;71,66;e;.;.
09375171;      Mötzing;15;e;15;e;11;e;11;e;1142;e;1142;e;104,80;e;104,80;e
09375174;      Neutraubling, St;6;e;3;e;3;e;1;e;647;e;342;e;206,11;e;255,43;e
09375175;      Nittendorf, M;48;e;47;e;36;e;35;e;7622;e;.;.;211,83;e;.;.
09375179;      Obertraubling;22;e;21;e;17;e;16;e;3974;e;.;.;232,02;e;.;.
09375180;      Pentling;16;e;16;e;9;e;9;e;2042;e;2042;e;239,48;e;239,48;e
09375181;      Pettendorf;50;e;48;e;37;e;36;e;8333;e;.;.;225,02;e;.;.
09375182;      Pfakofen;13;e;13;e;8;e;8;e;841;e;841;e;103,12;e;103,12;e
09375183;      Pfatter;14;e;14;e;10;e;10;e;1451;e;1451;e;148,30;e;148,30;e
09375184;      Pielenhofen;30;e;30;e;17;e;17;e;3286;e;3286;e;190,35;e;190,35;e
09375190;      Regenstauf, M;13;e;8;e;26;e;6;e;2183;e;1189;e;85,06;e;203,61;e
09375191;      Riekofen;1;e;-;-;1;e;-;-;.;.;-;-;.;.;-;-
09375196;      Schierling, M;12;e;7;e;21;e;7;e;1411;e;588;e;66,46;e;87,70;e
09375199;      Sinzing;18;e;12;e;16;e;9;e;2455;e;1809;e;148,81;e;208,60;e
09375201;      Sünching;11;e;11;e;7;e;7;e;927;e;927;e;135,61;e;135,61;e
09375204;      Tegernheim;24;e;24;e;9;e;9;e;5034;e;5034;e;567,93;e;567,93;e
09375205;      Thalmassing;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09375208;      Wenzenbach;21;e;18;e;35;e;25;e;7706;e;7104;e;221,29;e;288,91;e
09375209;      Wiesent;1;e;1;e;3;e;3;e;.;.;.;.;.;.;.;.
09375210;      Wörth a.d.Donau, St;11;e;6;e;38;e;4;e;2337;e;480;e;62,30;e;107,76;e
09375211;      Wolfsegg;9;e;2;e;12;e;1;e;944;e;.;.;79,82;e;.;.
09375213;      Zeitlarn;6;e;6;e;4;e;4;e;997;e;997;e;279,23;e;279,23;e
09375444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09376;    Schwandorf (Lkr);524;e;437;e;800;e;407;e;49289;e;37714;e;61,60;e;92,76;e
09376112;      Altendorf;5;e;3;e;3;e;2;e;128;e;.;.;37,92;e;.;.
09376116;      Bodenwöhr;13;e;8;e;65;e;11;e;1401;e;786;e;21,67;e;69,98;e
09376117;      Bruck i.d.OPf., M;10;e;9;e;18;e;18;e;641;e;.;.;34,68;e;.;.
09376119;      Burglengenfeld, St;59;e;54;e;48;e;43;e;8170;e;7885;e;169,44;e;184,02;e
09376122;      Dieterskirchen;4;e;2;e;1;e;1;e;53;e;.;.;40,34;e;.;.
09376125;      Fensterbach;10;e;9;e;11;e;8;e;523;e;.;.;49,62;e;.;.
09376131;      Gleiritsch;5;e;5;e;4;e;4;e;84;e;84;e;22,66;e;22,66;e
09376133;      Guteneck;3;e;2;e;4;e;2;e;130;e;.;.;34,02;e;.;.
09376141;      Maxhütte-Haidhof, St;51;e;46;e;51;e;35;e;5947;e;5671;e;117,71;e;161,17;e
09376144;      Nabburg, St;18;e;11;e;13;e;9;e;507;e;493;e;38,38;e;55,00;e
09376146;      Neukirchen-Balbini, M;10;e;10;e;12;e;12;e;387;e;387;e;31,00;e;31,00;e
09376147;      Neunburg vorm Wald, St;28;e;24;e;34;e;27;e;1755;e;1560;e;51,96;e;58,84;e
09376148;      Niedermurach;2;e;2;e;3;e;3;e;.;.;.;.;.;.;.;.
09376149;      Nittenau, St;36;e;32;e;47;e;30;e;2938;e;2568;e;62,44;e;84,80;e
09376150;      Wernberg-Köblitz, M;25;e;18;e;95;e;18;e;3345;e;1521;e;35,10;e;84,83;e
09376151;      Oberviechtach, St;13;e;10;e;24;e;11;e;1444;e;409;e;59,11;e;36,51;e
09376153;      Pfreimd, St;15;e;13;e;22;e;16;e;1257;e;.;.;56,56;e;.;.
09376159;      Schmidgaden;39;e;35;e;40;e;26;e;1976;e;1580;e;49,78;e;60,54;e
09376160;      Schönsee, St;3;e;2;e;8;e;1;e;115;e;.;.;14,46;e;.;.
09376161;      Schwandorf, GKSt;62;e;50;e;124;e;52;e;8600;e;5562;e;69,32;e;107,12;e
09376162;      Schwarzach b.Nabburg;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09376163;      Schwarzenfeld, M;17;e;16;e;13;e;12;e;929;e;.;.;70,38;e;.;.
09376164;      Schwarzhofen, M;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09376167;      Stadlern;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09376168;      Steinberg am See;2;e;1;e;2;e;1;e;.;.;.;.;.;.;.;.
09376169;      Stulln;4;e;3;e;2;e;2;e;150;e;.;.;61,71;e;.;.
09376170;      Teublitz, St;37;e;35;e;56;e;30;e;4130;e;.;.;73,52;e;.;.
09376171;      Teunz;3;e;3;e;4;e;4;e;107;e;107;e;26,66;e;26,66;e
09376172;      Thanstein;4;e;1;e;2;e;1;e;25;e;.;.;11,75;e;.;.
09376173;      Trausnitz;9;e;8;e;9;e;9;e;232;e;.;.;26,76;e;.;.
09376175;      Wackersdorf;24;e;16;e;73;e;11;e;3901;e;1012;e;53,78;e;95,08;e
09376176;      Weiding;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09376178;      Winklarn, M;8;e;4;e;7;e;3;e;109;e;85;e;16,37;e;26,08;e
09376444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09377;    Tirschenreuth (Lkr);225;e;169;e;296;e;147;e;8826;e;6964;e;29,87;e;47,24;e
09377112;      Bärnau, St;4;e;4;e;3;e;3;e;95;e;95;e;28,67;e;28,67;e
09377113;      Brand;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09377115;      Ebnath;4;e;4;e;4;e;4;e;106;e;106;e;28,36;e;28,36;e
09377116;      Erbendorf, St;22;e;16;e;35;e;16;e;961;e;705;e;27,40;e;45,34;e
09377117;      Falkenberg, M;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09377118;      Friedenfels;1;e;-;-;5;e;-;-;.;.;-;-;.;.;-;-
09377119;      Fuchsmühl, M;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09377127;      Immenreuth;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09377128;      Kastl;17;e;16;e;15;e;15;e;693;e;.;.;45,58;e;.;.
09377129;      Kemnath, St;22;e;19;e;21;e;18;e;1215;e;1115;e;58,05;e;63,67;e
09377131;      Konnersreuth, M;4;e;4;e;2;e;2;e;86;e;86;e;35,04;e;35,04;e
09377132;      Krummennaab;5;e;4;e;8;e;3;e;68;e;.;.;8,72;e;.;.
09377133;      Kulmain;4;e;4;e;4;e;4;e;187;e;187;e;44,39;e;44,39;e
09377137;      Leonberg;3;e;3;e;4;e;4;e;115;e;115;e;27,36;e;27,36;e
09377139;      Mähring, M;8;e;8;e;4;e;4;e;44;e;44;e;12,40;e;12,40;e
09377141;      Mitterteich, St;12;e;11;e;7;e;7;e;371;e;.;.;51,12;e;.;.
09377142;      Neualbenreuth, M;10;e;5;e;8;e;4;e;118;e;104;e;15,42;e;27,01;e
09377143;      Neusorg;8;e;5;e;5;e;3;e;130;e;125;e;28,02;e;36,74;e
09377145;      Pechbrunn;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09377146;      Plößberg, M;4;e;3;e;9;e;4;e;130;e;.;.;15,09;e;.;.
09377148;      Pullenreuth;12;e;2;e;7;e;2;e;70;e;.;.;10,25;e;.;.
09377149;      Reuth b.Erbendorf;4;e;3;e;9;e;5;e;175;e;.;.;20,52;e;.;.
09377154;      Tirschenreuth, St;42;e;36;e;35;e;30;e;1970;e;1936;e;56,60;e;63,68;e
09377157;      Waldershof, St;6;e;3;e;45;e;2;e;776;e;112;e;17,06;e;55,55;e
09377158;      Waldsassen, St;20;e;11;e;44;e;12;e;968;e;492;e;22,03;e;41,67;e
09377159;      Wiesau, M;8;e;3;e;18;e;2;e;327;e;172;e;18,42;e;76,52;e
09377444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
